source_id,url,source_type,topology_relevance,evidence_type,local_firecrawl_file,why_it_matters_for_iwin,limitations_or_missing_data,recommended_bucket
S011,https://support.huawei.com/enterprise/en/doc/EDOC1100265210-9acf6acc/configuration-principles,manual,optimizer,"design, installation",support.huawei.com-enterprise-en-doc-EDOC1100265210-9acf6acc-configuration-principles.md,"Documents string/MPPT configuration rules and same module/orientation constraints.","Not blind-specific; may rule out irregular facade grouping.",required
S012,https://support.huawei.com/enterprise/en/doc/EDOC1100265210-288032bf/connecting-cables,manual,optimizer,"installation, safety",support.huawei.com-enterprise-en-doc-EDOC1100265210-288032bf-connecting-cables.md,"Key cable rule: no extension cable between optimizer input and PV module; output safe voltage about N x 1 V after connection.","Potential blocker for moving-blind wiring unless optimizer is in fixed frame near PV leads.",required
S013,https://www.deyeinverter.com/deyeinverter/2023/12/21/datasheet_sun-xl02-a_231221_en.pdf,datasheet,optimizer,"design, safety",deyeinverter.com-deyeinverter-2023-12-21-datasheet_sun-xl02-a_231221_en.pdf.md,"Compact 700 W optimizer, 12-80 V MPPT, 80 V max input, 15 A input, IP68, -40 to 85 C.","Communication and shutdown require concentrator on B variant; still string ecosystem.",useful
S014,https://www.deyeinverter.com/product/accessory-monitoring-1/SUNXL02A-2538.html,manufacturer,optimizer,"design, monitoring",deyeinverter.com-product-accessory-monitoring-1-SUNXL02A-2538.html.md,"Product page backing Deye SUN-XL02 accessory context.","Limited design detail versus datasheet.",useful
S015,https://7sun.eu/product-category/optimizers/,distributor,optimizer,"pricing, availability",7sun.eu-product-category-optimizers.md,"EU distributor list with prices for Deye, Huawei, Tigo, SolarEdge optimizers and Deye concentrator.","Many SKUs 0 stock; distributor text has generic marketing claims to ignore.",useful
S016,https://www.ampt.com/products/string-optimizers/,manufacturer,background,"design, economics",ampt.com-products-string-optimizers.md,"Shows string optimizer category and large-scale DC/DC architecture.","Power levels are kW/tens of kW; not suitable for blind modules.",skip
S017,https://www.analog.com/media/en/news-marketing-collateral/product-highlight/maxim-solar-cell-optimizer-product-brief.pdf,application note,background,"design, reliability",analog.com-media-en-news-marketing-collateral-product-highlight-maxim-solar-cell-optimizer-product-brief.pdf.md,"Cell-string-level MPPT concept useful for custom BIPV/slat laminate thinking.","Not a current off-the-shelf certified blind electronics product.",useful
S018,https://www.ti.com/lit/pdf/tiduf99,application note,optimizer,"design, reliability",ti.com-lit-pdf-tiduf99.md,"600 W GaN optimizer reference: 15-80 V, 18 A, buck-boost, PLC/wireless, high efficiency.","Reference design only; certification, enclosure, thermal, BOM cost missing.",useful
S019,https://enphase.com/download/iq8-and-iq8-microinverters-data-sheet,datasheet,microinverter,"design, safety, certification",enphase.com-download-iq8-and-iq8-microinverters-data-sheet.md,"Official IQ8 input windows, AC output, rapid shutdown listing, UL/IEEE/Rule 21 certifications.","North America-centric; module power and voltage may exceed blind-module envelope.",required
S020,https://enphase.com/download/iq8-series-microinverter-installation-and-operation-manual,installation manual,microinverter,"installation, safety, service",enphase.com-download-iq8-series-microinverter-installation-and-operation-manual.md,"Documents IQ Cable, IQ Gateway, no under-load disconnect, service boundary, thermal cautions.","Fixed-module assumptions; not movable facade specific.",required
S021,https://enphase.com/store/microinverters/iq8-series,manufacturer,microinverter,"pricing",enphase.com-store-microinverters-iq8-series.md,"Manufacturer store prices for IQ8 variants.","Retail/store pricing volatile; accessories not included.",useful
S022,https://global.apsystems.com/diy/ez1/,manufacturer,microinverter,"design, installation, monitoring",global.apsystems.com-diy-ez1.md,"Balcony-style dual-input microinverter page with app/Bluetooth/Wi-Fi context.","Product page must be paired with datasheet/manual; regional plug-in rules vary.",required
S023,https://global.apsystems.com/wp-content/uploads/2025/04/4306626202_APsystems-Microinverter-EZ1-M-EZ1-H-For-EMEA-Datasheet_-Rev1.1_2024-12-09-BC01.pdf,datasheet,microinverter,"design, certification",global.apsystems.com-ez1-emea-datasheet-2024-12-09.md,"Official EZ1 EMEA input/output, 2 MPPT, IP67, temp, dimensions, isolation, app communications.","Datasheet max-units lines need reconciliation with manual/app statements.",required
S024,https://global.apsystems.com/wp-content/uploads/2025/04/4306626102_APsystems-Microinverter-EZ1-M-EZ1-H-for-EMEA-User-manual_-Rev1.1_2024-12-09-BC01.pdf,installation manual,microinverter,"installation, safety, service",global.apsystems.com-ez1-emea-user-manual-2024-12-09.md,"Final EZ1 manual scrape now present; contains balcony/garden scope, expansion/cable limits, plug-in compliance, no rooftop support.","Need jurisdiction-specific interpretation before use on facade/BIPV blinds.",required
S025,https://canada.apsystems.com/ds3/,manufacturer,microinverter,"design, monitoring",canada.apsystems.com-ds3.md,"DS3 dual-module independent MPPT and ZigBee concept.","Use manual for exact installation limits.",useful
S026,https://global.apsystems.com/wp-content/uploads/2022/07/APsystems-Microinverter-DS3-series-for-APAC-Installation-manual_Rev1.1_2022-07-15.pdf,installation manual,microinverter,"installation, safety",global.apsystems.com-wp-content-uploads-2022-07-APsystems-Microinverter-DS3-series-for-APAC-Installation-manual_Rev1.1_2022-07-15.pdf.md,"DS3 input windows, AC bus, branch limits, replacement/service, no under-load disconnect.","APAC manual; regional certification/config may differ.",useful
S027,https://www.hoymiles.com/products/hms-300-350-400-450-500-1t.html,manufacturer,microinverter,"design, certification",hoymiles.com-products-hms-300-350-400-450-500-1t.html.md,"Low-power single-input HMS microinverter family and grid-code claims.","Need formal PDF datasheet and target-region certificate.",required
S028,https://www.hoymiles.com/products/hms-300w-350w-400w-450w-500w-1t-wi-fi-integrated.html,manufacturer,microinverter,"design, monitoring",hoymiles.com-products-hms-300w-350w-400w-450w-500w-1t-wi-fi-integrated.html.md,"Wi-Fi integrated low-power microinverter evidence for balcony/direct app topology.","Still conventional module envelope.",useful
S029,https://www.hoymiles.com/products/hms-600-700-800-900-1000-2t.html,manufacturer,microinverter,"design, monitoring",hoymiles.com-products-hms-600-700-800-900-1000-2t.html.md,"Potential two-input microinverter for two blind modules.","Scraped evidence has contradiction on number of MPPTs; formal datasheet required.",useful
S030,https://www.offgridtec.com/en/hoymiles-hms-500-1t-microinverter-module-inverter.html,distributor,microinverter,"pricing, design",offgridtec.com-en-hoymiles-hms-500-1t-microinverter-module-inverter.html.md,"EU price anchor and product details for HMS-500-1T.","Distributor source; not enough for certification.",useful
S031,https://self2solar.com/products/hms500,distributor,microinverter,"pricing",self2solar.com-products-hms500.md,"US retail price anchor for Hoymiles HMS-500/HMS-700/HMS-800/HMT-2000.","Pricing volatile; exact certification needs source docs.",useful
S032,https://northernep.com/products/microinverters/bdm-300/,manufacturer,microinverter,"design, certification",northernep.com-products-microinverters-bdm-300.md,"Lower-power 250 W continuous microinverter source.","Direct price missing.",required
S033,https://northernep.com/wp-content/uploads/2023/10/BDM-300-Datasheet-102623.pdf,datasheet,microinverter,"design, safety, certification",northernep.com-bdm-300-datasheet-2023-10-26.md,"BDM-300 22-55 V MPPT, 60 V max, 14 A, UL/IEC/IEEE/VDE/AS certifications.","Need current regional listing validation.",required
S034,https://northernep.com/downloads/manuals/BDM-300-micro-inverter-manual.pdf,installation manual,microinverter,"installation, safety, service",northernep.com-downloads-manuals-bdm-300-micro-inverter-manual.md,"AC trunk, PLC gateway, no customer service, no under-load disconnect evidence.","Manual not blind/facade specific.",useful
S035,https://www.tsun-ess.com/gen3-microinverter-6-in-1.html,manufacturer,microinverter,"design, monitoring",tsun-ess.com-gen3-microinverter-6-in-1.md,"Six-input/six-MPPT packaging pattern for zone electronics.","Too large for one blind; price missing.",useful
S036,https://www.tsun-ess.com/files/datasheetgen3-microinverter-6-in-1-0701.pdf,datasheet,microinverter,"design, certification",tsun-ess.com-datasheet-gen3-microinverter-6-in-1-0701.md,"TSUN 6-in-1 16-60 V MPPT, 60 V max, 18 A input, IP67, 6 MPPTs.","Need certification list, price, and installation manual.",useful
S037,https://www.mdpi.com/2075-5309/14/1/53,paper,optimizer,"design, reliability",mdpi.com-2075-5309-14-1-53.md,"Elevation-type BIPV optimizer experiment under 10-75% module shading; directly relevant to facade mismatch.","Academic prototype/test system; not moving-blind or certified product evidence.",required
S038,https://www.mdpi.com/2075-5309/14/12/3850,paper,optimizer,"design, reliability",mdpi.com-2075-5309-14-12-3850.md,"Facade-BIPV optimizer prototype/conventional/no-optimizer comparison under shading.","Not a commercial product; exact prototype BOM/certification missing.",required
S039,https://iea-pvps.org/wp-content/uploads/2020/01/IEA-PVPS_15_R09_BIPV_Design_Tools_report.pdf,technical report,background,"design, economics, modeling",iea-pvps.org-wp-content-uploads-2020-01-IEA-PVPS_15_R09_BIPV_Design_Tools_report.pdf.md,"BIPV design/modelling context, vertical/external BIPV limitations, dynamic shading references.","Not a topology datasheet; use for modelling workflow and source discovery.",useful
S040,https://webstore.iec.ch/en/publication/64171,standard,background,"safety, installation",webstore.iec.ch-en-publication-64171.md,"IEC 62548-1 PV array design requirements including DC wiring, protection, switching, earthing, DC-DC conditioning units.","Standards page only; full standard needed for design clauses.",required
S041,https://webstore.iec.ch/en/publication/6470,standard,both,"safety",webstore.iec.ch-en-publication-6470.md,"IEC 62109-1 general safety for PV power conversion equipment.","Full standard needed for design; Edition 2 under development.",required
S042,https://webstore.iec.ch/en/publication/6471,standard,microinverter,"safety",webstore.iec.ch-en-publication-6471.md,"IEC 62109-2 inverter-specific safety requirements.","Full standard needed for compliance; Edition 2 under development.",required
S043,https://webstore.iec.ch/en/publication/27684,standard,both,"safety",webstore.iec.ch-en-publication-27684.md,"IEC 62109-3 covers module-integrated equipment/electronics with PV elements.","Full standard needed; central for integrated blind-module electronics.",required
S044,https://webstore.iec.ch/en/publication/6479,standard,microinverter,"safety, grid",webstore.iec.ch-en-publication-6479.md,"IEC 62116 islanding-prevention test procedure for utility-interconnected PV inverters.","Full standard and local grid code still required.",required
S045,https://www.shopulstandards.com/ProductDetail.aspx?productId=UL1741,standard,microinverter,"safety, grid",shopulstandards.com-ProductDetail.aspx.md,"UL 1741 covers inverters, converters, controllers, ISE, and AC modules with PV modules/inverters.","Full standard and listing verification needed.",required
S046,https://www.ul.com/services/distributed-energy-resource-testing,standard,both,"safety, certification",ul.com-services-distributed-energy-resource-testing.md,"UL DER testing page ties UL 1741, IEC/UL 62109, IEEE 1547, grid codes, BIPV testing, inverter certification.","Service page, not a product standard; useful for certification scoping.",useful
