architecture,role,file_type,evidence_status,path,notes
H1,architecture source,markdown,project-derived technical resource,../../GPT_project2080/iWin_H1_H2_H3_H4_Active_Architecture_Hypotheses_v2.md,"H1 definition and schematic section."
H2-PDO,competitiveness review,markdown,engineering inference with source anchors,../2026-05-28_iwin_h2_pdo_competitiveness/h2_pdo_competitiveness_review.md,"Neighbor-chat H2-PDO review: parallel-output DCO into protected common node."
H2-PDO,infographic,png,project artifact,../2026-05-28_iwin_h2_pdo_competitiveness/h2_pdo_architecture_infographic.png,"H2-PDO 16:9 infographic."
H2-PDO,infographic prompt,markdown,prompt artifact,../2026-05-28_iwin_h2_pdo_competitiveness/h2_pdo_architecture_infographic_prompt.md,"Prompt used for H2-PDO infographic."
H2-PDO,PDO evaluation,markdown,Firecrawl-backed review,../2026-05-28_iwin_pdo_parallel_dco/parallel_dco_pdo_evaluation.md,"Parallel-output DCO source review and common DC bus evaluation."
H2-PDO,PDO source table,csv,source inventory,../2026-05-28_iwin_pdo_parallel_dco/source_table.csv,"Source table for parallel DCO/PDO evidence."
H2-PDO,raw Firecrawl folder,folder,raw scraped evidence,../../.firecrawl/2026-05-28-pdo/,"Raw Firecrawl cache for PDO searches."
H2-PDO,raw Firecrawl folder,folder,raw scraped evidence,../../.firecrawl/2026-05-28-pdo-30-40vmp/,"Raw Firecrawl cache for 30-40 Vmp PDO searches."
H2-PDO,raw Firecrawl folder,folder,raw scraped evidence,../../.firecrawl/2026-05-28-h2-competitiveness/,"Raw Firecrawl cache for H2 competitiveness pass."
H3,topology note,markdown,verified-source plus inference,../2026-05-28_iwin_h3_microinverter_topology/h3_microinverter_topology.md,"H3 microinverter topology values and device-fit table."
H3,infographic,png,project artifact,../2026-05-28_iwin_h3_microinverter_topology/h3_microinverter_topology_infographic.png,"H3 16:9 microinverter infographic."
H3,infographic prompt,markdown,prompt artifact,../2026-05-28_iwin_h3_microinverter_topology/h3_infographic_prompt.md,"Prompt used for H3 infographic."
H3,microinverter deep dive,markdown,verified-source plus inference,../2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis/microinverter_deep_dive.md,"Vendor/product extraction for Enphase, APsystems, Hoymiles, NEP, TSUN."
H3,legacy infographic,png,project artifact,../../GPT_project2080/H3 iWin PV Blind Microinverter Topology.png,"Copied/legacy H3 visual in GPT_project2080."
H4-current,topology note,markdown,verified-source plus inference,../2026-05-28_iwin_h4_optimizer_topology/h4_optimizer_topology.md,"Current chat H4/A4: per-blind optimizer, series DC string, facade/string inverter."
H4-current,infographic,png,project artifact,../2026-05-28_iwin_h4_optimizer_topology/h4_optimizer_topology_infographic.png,"H4/A4 optimizer topology infographic."
H4-current,infographic prompt,markdown,prompt artifact,../2026-05-28_iwin_h4_optimizer_topology/h4_infographic_prompt.md,"Prompt used for H4/A4 infographic."
H4-current,optimizer deep dive,markdown,verified-source plus inference,../2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis/optimizer_deep_dive.md,"Vendor/product extraction for Tigo, Deye, SolarEdge, Huawei, TI, Analog/Maxim."
H4-current,TS4 infographic,png,project artifact,../2026-05-28_iwin_ts4_topology_infographic/iwin_ts4_topology_infographic.png,"Earlier TS4-A-O topology infographic; maps to H4-current/A4."
H4-current,TS4 prompt,markdown,prompt artifact,../2026-05-28_iwin_ts4_topology_infographic/infographic_prompt.md,"Prompt used for TS4-A-O infographic."
H4-current,raw Firecrawl folder,folder,raw scraped evidence,../../.firecrawl/2026-05-28-h4-model/,"Raw Firecrawl cache for refreshed H4 model and pricing."
Legacy-H4,legacy H4 visual,png,project artifact,../../GPT_project2080/H4_perZone_DCAC.png,"Older H4 definition: per-zone DC/AC microinverter for multiple windows. Do not confuse with current H4/A4 optimizer branch."
